Index,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Finger1,Finger2,Finger3,Finger4,Finger5,Iteration,Gesture
180,12.62,2.08,4.58,0.16,0.21,0.24,547.0,571.0,544.0,562.0,540.0,2,2
181,10.03,2.65,3.99,-0.1,-0.1,-0.24,547.0,571.0,545.0,563.0,541.0,2,2
182,11.27,-1.14,2.36,-0.24,-0.06,-0.38,547.0,572.0,545.0,563.0,542.0,2,2
183,9.53,-4.54,-0.72,-0.51,0.02,-0.48,546.0,571.0,544.0,564.0,541.0,2,2
184,7.71,-7.96,-2.38,-0.29,-0.01,-0.32,546.0,571.0,544.0,563.0,541.0,2,2
185,6.16,-8.25,-0.62,0.37,0.31,0.38,546.0,570.0,543.0,562.0,539.0,2,2
186,7.51,-7.31,0.11,0.25,-0.13,0.34,547.0,569.0,544.0,562.0,541.0,2,2
187,11.3,-1.93,2.13,0.19,0.21,0.56,548.0,571.0,545.0,564.0,543.0,2,2
188,12.09,3.09,4.79,0.0,0.01,0.31,547.0,571.0,546.0,564.0,542.0,2,2
189,10.88,2.51,3.6,-0.1,0.04,-0.17,547.0,572.0,546.0,563.0,542.0,2,2
190,10.36,-1.18,1.4,-0.42,-0.05,-0.42,546.0,571.0,545.0,563.0,542.0,2,2
191,8.6,-5.0,-0.19,-0.47,0.16,-0.47,546.0,571.0,545.0,562.0,540.0,2,2
192,8.69,-9.29,-1.57,-0.31,-0.21,-0.28,545.0,570.0,544.0,562.0,539.0,2,2
193,6.18,-8.16,-0.57,0.36,0.31,0.44,546.0,570.0,544.0,561.0,538.0,2,2
194,7.77,-4.72,-0.2,0.42,0.09,0.56,547.0,570.0,545.0,561.0,539.0,2,2
195,10.87,-2.14,2.48,0.11,-0.52,0.3,547.0,571.0,546.0,563.0,540.0,2,2
196,13.46,1.4,3.85,-0.1,-0.18,0.44,547.0,571.0,546.0,563.0,541.0,2,2
197,9.8,2.14,2.53,-0.11,-0.08,-0.07,547.0,570.0,546.0,563.0,540.0,2,2
198,11.85,-2.03,2.5,-0.4,-0.1,-0.44,546.0,571.0,544.0,562.0,540.0,2,2
199,9.13,-4.68,-0.9,-0.48,0.12,-0.45,544.0,570.0,543.0,560.0,538.0,2,2
200,7.79,-8.96,-1.34,-0.24,0.13,-0.26,544.0,569.0,542.0,560.0,537.0,2,2
201,5.37,-9.2,-0.66,0.42,0.21,0.33,543.0,567.0,542.0,559.0,537.0,2,2
202,6.46,-5.92,-1.17,0.38,-0.14,0.57,543.0,568.0,543.0,560.0,538.0,2,2
203,13.34,-1.35,3.01,0.17,-0.24,0.5,544.0,568.0,544.0,560.0,539.0,2,2
204,10.88,4.58,4.65,0.18,-0.2,0.0,545.0,569.0,545.0,560.0,539.0,2,2
205,11.37,1.53,3.63,-0.05,-0.23,-0.4,544.0,569.0,544.0,561.0,540.0,2,2
206,10.39,-1.81,0.88,-0.17,-0.24,-0.55,545.0,569.0,545.0,561.0,539.0,2,2
207,8.05,-5.07,-1.16,-0.39,0.01,-0.46,544.0,570.0,544.0,561.0,538.0,2,2
208,8.54,-9.15,-2.09,-0.3,-0.14,-0.29,545.0,568.0,544.0,560.0,538.0,2,2
209,5.08,-7.93,-0.69,0.32,0.47,0.47,545.0,567.0,544.0,560.0,537.0,2,2
210,7.83,-5.3,0.27,0.2,-0.38,0.46,544.0,569.0,544.0,561.0,538.0,2,2
211,10.46,-1.48,2.21,0.32,0.24,0.63,545.0,568.0,546.0,561.0,538.0,2,2
212,13.31,1.07,4.0,-0.02,0.17,0.64,545.0,570.0,545.0,562.0,539.0,2,2
213,11.32,2.07,3.54,-0.11,0.15,-0.2,545.0,569.0,546.0,562.0,539.0,2,2
214,10.49,-2.09,1.42,-0.34,0.18,-0.33,544.0,569.0,544.0,562.0,538.0,2,2
215,7.24,-6.45,-0.74,-0.56,0.2,-0.39,543.0,567.0,543.0,558.0,536.0,2,2
216,7.64,-10.65,-1.32,-0.21,0.23,-0.04,541.0,566.0,540.0,557.0,535.0,2,2
217,5.47,-6.21,-1.14,0.3,0.22,0.47,543.0,566.0,541.0,557.0,536.0,2,2
218,8.25,-5.13,1.2,0.59,0.05,0.52,544.0,566.0,541.0,558.0,536.0,2,2
219,11.67,-0.21,1.36,0.3,0.49,0.71,544.0,566.0,543.0,558.0,538.0,2,2
220,10.38,3.42,4.77,-0.1,0.24,0.21,545.0,567.0,543.0,559.0,538.0,2,2
221,9.83,1.67,3.03,-0.23,-0.03,-0.1,545.0,568.0,543.0,559.0,538.0,2,2
222,11.11,-3.54,2.91,-0.54,-0.06,-0.33,545.0,567.0,543.0,559.0,537.0,2,2
223,7.76,-6.56,0.17,-0.66,-0.09,-0.57,545.0,567.0,542.0,559.0,537.0,2,2
224,7.33,-10.92,-0.29,-0.14,0.07,-0.26,545.0,566.0,542.0,558.0,537.0,2,2
225,5.71,-7.89,-0.73,0.43,0.14,0.46,544.0,565.0,542.0,558.0,537.0,2,2
226,10.64,-5.93,1.59,0.3,-0.34,0.45,543.0,566.0,542.0,559.0,537.0,2,2
227,9.02,-0.41,3.07,0.39,-0.03,0.45,544.0,566.0,542.0,559.0,537.0,2,2
228,14.41,4.49,5.87,0.16,0.38,-0.46,544.0,567.0,543.0,559.0,538.0,2,2
229,11.31,1.27,4.31,-0.13,-0.18,-0.4,543.0,566.0,543.0,559.0,538.0,2,2
230,10.34,-2.56,1.28,-0.47,-0.13,-0.64,543.0,566.0,543.0,560.0,538.0,2,2
231,7.65,-8.06,-0.49,-0.7,-0.42,-0.75,543.0,565.0,542.0,559.0,538.0,2,2
232,6.86,-10.53,-1.03,0.05,0.25,-0.04,543.0,565.0,542.0,560.0,538.0,2,2
233,4.95,-7.3,-0.7,0.35,-0.12,0.34,543.0,565.0,542.0,559.0,538.0,2,2
234,9.33,-5.31,0.49,0.4,0.22,0.74,543.0,565.0,542.0,560.0,538.0,2,2
235,12.03,-0.4,4.49,0.11,-0.4,0.33,544.0,566.0,544.0,560.0,539.0,2,2
236,11.01,6.57,3.83,0.09,-0.1,0.0,544.0,567.0,543.0,560.0,539.0,2,2
237,11.74,0.18,3.63,-0.14,-0.08,-0.32,543.0,566.0,543.0,560.0,538.0,2,2
238,9.21,-2.19,1.09,-0.31,-0.08,-0.52,545.0,566.0,543.0,560.0,539.0,2,2
239,8.62,-5.89,-0.36,-0.6,-0.34,-0.63,544.0,566.0,543.0,560.0,538.0,2,2
240,7.61,-10.43,-1.42,-0.23,-0.13,-0.25,544.0,565.0,542.0,560.0,538.0,2,2
241,3.56,-7.99,-1.13,0.45,0.26,0.5,544.0,567.0,543.0,560.0,538.0,2,2
242,9.35,-5.15,-0.56,0.28,0.02,0.73,544.0,566.0,543.0,560.0,539.0,2,2
243,13.37,-0.35,5.08,0.17,-0.28,0.42,545.0,567.0,543.0,560.0,539.0,2,2
244,11.77,4.98,3.86,0.13,-0.1,0.11,545.0,567.0,544.0,560.0,539.0,2,2
245,11.36,0.05,4.09,-0.04,0.02,-0.33,545.0,567.0,544.0,561.0,540.0,2,2
246,10.13,-2.46,0.72,-0.29,-0.15,-0.56,545.0,569.0,544.0,561.0,539.0,2,2
247,8.09,-6.01,-0.8,-0.52,0.11,-0.51,545.0,567.0,544.0,561.0,539.0,2,2
248,7.1,-10.32,-0.9,-0.23,0.15,-0.32,545.0,566.0,543.0,561.0,539.0,2,2
249,4.55,-8.06,-0.3,0.47,0.15,0.52,545.0,567.0,544.0,560.0,538.0,2,2
250,9.25,-4.89,-0.89,0.37,-0.26,0.67,545.0,567.0,543.0,561.0,540.0,2,2
251,10.39,-0.48,3.69,0.22,-0.04,0.57,545.0,568.0,543.0,561.0,540.0,2,2
252,11.77,6.49,3.52,0.26,0.02,0.02,545.0,568.0,545.0,561.0,540.0,2,2
253,12.14,1.09,4.06,-0.09,-0.15,-0.32,545.0,568.0,545.0,562.0,541.0,2,2
254,10.4,-2.13,0.67,-0.52,-0.35,-0.66,545.0,567.0,545.0,561.0,540.0,2,2
255,8.6,-5.97,-0.65,-0.65,-0.11,-0.65,544.0,567.0,544.0,561.0,540.0,2,2
256,7.58,-9.41,-0.88,-0.37,0.1,-0.31,544.0,567.0,544.0,561.0,540.0,2,2
257,5.79,-8.7,-0.47,0.5,0.41,0.45,544.0,566.0,544.0,561.0,540.0,2,2
258,8.22,-5.65,-0.64,0.33,-0.2,0.59,544.0,566.0,544.0,561.0,541.0,2,2
